Year,Month,Country,Product_Type,Expense_Price
2016,6,Columbia,1,1792.339
2016,6,Columbia,2,3525.917
2016,6,Denmark,2,73109.054
2016,7,Argentina,1,7377.587
2016,7,Argentina,2,3303.667
2016,7,Belgium,2,676.623
2016,7,Columbia,1,1559.57
2016,7,Columbia,2,3856.195
2016,7,Denmark,2,65278.447
2016,8,Argentina,1,9805.705
2016,8,Argentina,2,3828.908
2016,8,Belgium,2,663.928
2016,8,Columbia,1,1360.078
2016,8,Columbia,2,3170.702
2016,8,Denmark,2,75939.881
2016,9,Argentina,1,9375.481
2016,9,Argentina,2,3415.876
2016,9,Belgium,2,760.998
2016,9,Columbia,1,1608.219
2016,9,Columbia,2,3591.035
2016,9,Denmark,2,73905.232
2016,10,Argentina,1,7284.9
2016,10,Argentina,2,3367.186
2016,10,Belgium,2,853.843
2016,10,Columbia,1,1525.554
2016,10,Columbia,2,3526.675
2016,10,Denmark,2,78101.986
2016,11,Argentina,1,10381.438
2016,11,Argentina,2,3567.157
2016,11,Belgium,2,771.52
2016,11,Columbia,1,1691.494
2016,11,Columbia,2,3728.492
2016,11,Denmark,2,71397.279
2016,12,Argentina,1,6865.382
2016,12,Argentina,2,3616.041
2016,12,Belgium,2,829.174
2016,12,Columbia,1,1660.75
2016,12,Columbia,2,3454.903
2016,12,Denmark,2,70794.598
2017,1,Argentina,1,10704.394
2017,1,Argentina,2,3652.529
2017,1,Belgium,2,726.143
2017,1,Columbia,1,1472.171
2017,1,Columbia,2,3738
2017,1,Denmark,2,61985.791
2017,2,Argentina,1,7253.269
2017,2,Argentina,2,3250.009
2017,2,Belgium,2,617.332
2017,2,Columbia,1,1544.051
2017,2,Columbia,2,3303.168
2017,2,Denmark,2,57087.558
2017,3,Argentina,1,8427.013
2017,3,Argentina,2,2951.466
2017,3,Belgium,2,497.232
2017,3,Columbia,1,1843.579
2017,3,Columbia,2,3923.139
2017,3,Denmark,2,67228.892
2013,1,England,4,183.482
2013,1,England,5,330.367
2013,1,Finland,4,750.618
2013,2,England,4,170.041
2013,2,England,5,307.268
2013,2,Finland,4,809.129
2013,3,England,4,180.388
2013,3,England,5,318.857
2013,3,Finland,4,1310.457
2013,4,England,4,189.041
2013,4,England,5,352.085
2013,4,Finland,4,1065.617
2013,5,England,4,187.728
2013,5,England,5,344.81
2013,5,Finland,4,1513.342
2013,6,England,4,207.92
2013,6,England,5,373.764
2013,6,Finland,4,921.716
2013,7,England,4,170.853
2013,7,England,5,334.845
2013,7,Finland,4,1265.548
2013,8,England,4,170.292
2013,8,England,5,306.223
2013,8,Finland,4,1280.376
2013,9,England,4,177.31
2013,9,England,5,337.577
2013,9,Finland,4,1554.288
2013,10,England,4,189.856
2013,10,England,5,354.384
2013,10,Finland,4,1389.61
2013,11,England,4,196.943
2013,11,England,5,386.902
2013,11,Finland,4,1701.203
2013,12,England,4,200.066
2013,12,England,5,392.918
2013,12,Finland,4,1211.026
2014,1,England,4,170.244
2014,1,England,5,327.667
2014,1,Finland,4,1320.833
2014,2,England,4,172.619
2014,2,England,5,333.778
2014,2,Finland,4,881.556
2014,3,England,4,187.959
2014,3,England,5,362.096
2014,3,Finland,4,1583.462
2014,4,England,4,191.476
2014,4,England,5,376.663
2014,4,Finland,4,1522.261
2014,5,England,4,176.118
2014,5,England,5,376.311
2014,5,Finland,4,1121.18
2014,6,England,4,182.987
2014,6,England,5,362.87
2014,6,Finland,4,1348.254
2014,7,England,4,190.956
2014,7,England,5,417.095
2014,7,Finland,4,1392.341
2014,8,England,4,170.629
2014,8,England,5,334.189
2014,8,Finland,4,1242.183
2014,9,England,4,187.279
2014,9,England,5,377.266
2014,9,Finland,4,1732.551
2014,10,England,4,185.283
2014,10,England,5,377.148
2014,10,Finland,4,1115.553
2014,11,England,4,185.804
2014,11,England,5,450.171
2014,11,Finland,4,1169.936
2014,12,England,4,185.654
2014,12,England,5,418.12
2014,12,Finland,4,1402.402
2015,1,England,4,188.135
2015,1,England,5,385.36
2015,1,Finland,4,1416.856
2015,2,England,4,153.179
2015,2,England,5,338.272
2015,2,Finland,4,1206.613
2015,3,England,4,177.187
2015,3,England,5,390.226
2015,3,Finland,4,1588.459
2015,4,England,4,179.485
2015,4,England,5,421.233
2015,4,Finland,4,1432.277
2015,5,England,4,163.298
2015,5,England,5,353.808
2015,5,Finland,4,1148.367
2015,6,England,4,174.837
2015,6,England,5,381.576
2015,6,Finland,4,1517.116
2015,7,England,4,191.911
2015,7,England,5,438.43
2015,7,Finland,4,1313.673
2015,8,England,4,153.892
2015,8,England,5,312.222
2015,8,Finland,4,1334.374
2015,9,England,4,178.459
2015,9,England,5,381.886
2015,9,Finland,4,1350.59
2015,10,England,4,174.667
2015,10,England,5,381.837
2015,10,Finland,4,1441.062
2015,11,England,4,171.166
2015,11,England,5,416.969
2015,11,Finland,4,1306.731
2015,12,England,4,194.468
2015,12,England,5,464.351
2015,12,Finland,4,1499.447
2016,1,England,4,162.639
2016,1,England,5,349.703
2016,1,Finland,4,1181.306
2016,2,England,4,163.553
2016,2,England,5,333.141
2016,2,Finland,4,940.191
2016,3,England,4,174.685
2016,3,England,5,427.817
2016,3,Finland,4,1439.734
2016,4,England,4,172.181
2016,4,England,5,399.159
2016,4,Finland,4,1378.859
2016,5,England,4,175.224
2016,5,England,5,400.744
2016,5,Finland,4,970.194
2016,6,England,4,181.402
2016,6,England,5,426.198
2016,6,Finland,4,1289.024
2016,7,England,4,157.756
2016,7,England,5,378.903
2016,7,Finland,4,900.083
